code	product_name	brands	categories	categories_en	ingredients_text	nutriscore_grade	image_url	image_small_url	energy-kcal_100g	fat_100g	carbohydrates_100g	proteins_100g	sugars_100g	salt_100g	fiber_100g	countries_en
3017620422003	Nutella Hazelnut Spread	Ferrero	en:spreads,en:sweet-spreads,en:hazelnut-spreads	Spreads,Sweet spreads,Hazelnut spreads	Sugar, palm oil, hazelnuts (13%), skimmed milk powder (8.7%), fat-reduced cocoa (7.4%), lecithins (soy), vanillin	C	https://images.openfoodfacts.org/images/products/301/762/042/2003/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/301/762/042/2003/front_en.4.200.jpg	539	30.9	57.5	6.3	56.3	0.107	0	France
7622210645282	Milka Chocolate Bar	Milka	en:chocolates,en:chocolate-bars	Chocolates,Chocolate bars	Sugar, cocoa butter, cocoa mass, skimmed milk powder, whey powder, milk fat, emulsifier (soy lecithin), vanilla extract	D	https://images.openfoodfacts.org/images/products/762/221/064/5282/front_en.5.400.jpg	https://images.openfoodfacts.org/images/products/762/221/064/5282/front_en.5.200.jpg	535	29.5	58	5.5	56	0.2	0	Germany
8000500310427	Pringles Original	Pringles	en:snacks,en:potato-crisps	Snacks,Potato crisps	Potatoes, vegetable oils (sunflower, corn), wheat flour, rice flour, maltodextrin, salt, dextrose, yeast extract, spices	E	https://images.openfoodfacts.org/images/products/800/050/031/0427/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/800/050/031/0427/front_en.4.200.jpg	536	33.2	52	5.5	0.8	1.5	3.5	United States
5000159461125	Walkers Crisps Salt & Vinegar	Walkers	en:snacks,en:potato-crisps	Snacks,Potato crisps	Potatoes, sunflower oil, salt & vinegar seasoning (salt, maltodextrin, lactose, citric acid, sodium diacetate, natural flavoring)	E	https://images.openfoodfacts.org/images/products/500/015/946/1125/front_en.3.400.jpg	https://images.openfoodfacts.org/images/products/500/015/946/1125/front_en.3.200.jpg	536	34	52	5.5	0.8	1.4	3.5	United Kingdom
3017620422004	Kinder Bueno	Ferrero	en:chocolates,en:chocolate-bars	Chocolates,Chocolate bars	Sugar, vegetable fats, hazelnuts (13%), wheat flour, skimmed milk powder, cocoa, lecithins (soy), vanillin	D	https://images.openfoodfacts.org/images/products/301/762/042/2004/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/301/762/042/2004/front_en.4.200.jpg	575	37.5	48.5	8.8	43.5	0.25	0	France
7622210645283	Oreo Cookies	Oreo	en:biscuits,en:sweet-biscuits	Biscuits,Sweet biscuits	Wheat flour, sugar, palm oil, cocoa powder, glucose-fructose syrup, leavening agents, salt, soy lecithin, vanillin	D	https://images.openfoodfacts.org/images/products/762/221/064/5283/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/762/221/064/5283/front_en.4.200.jpg	484	20	68	5.1	38	0.4	3.2	United States
8000500310428	Doritos Nacho Cheese	Doritos	en:snacks,en:tortilla-chips	Snacks,Tortilla chips	Corn, vegetable oil (corn, sunflower), salt, cheddar cheese, whey, buttermilk, natural flavors, monosodium glutamate	E	https://images.openfoodfacts.org/images/products/800/050/031/0428/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/800/050/031/0428/front_en.4.200.jpg	497	26	60	7	1.5	1.8	4	United States
5000159461126	M&M's Peanut	Mars	en:chocolates,en:chocolate-candies	Chocolates,Chocolate candies	Milk chocolate (sugar, cocoa butter, chocolate, skim milk, lactose, milkfat, soy lecithin, salt, artificial flavors), peanuts, sugar, cornstarch	D	https://images.openfoodfacts.org/images/products/500/015/946/1126/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/500/015/946/1126/front_en.4.200.jpg	515	26	59	9.5	51	0.1	2.5	United States
3017620422005	KitKat	KitKat	en:chocolates,en:chocolate-bars	Chocolates,Chocolate bars	Sugar, wheat flour, cocoa butter, cocoa mass, skimmed milk powder, milk fat, lactose, lecithins (soy), vanillin, yeast extract	D	https://images.openfoodfacts.org/images/products/301/762/042/2005/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/301/762/042/2005/front_en.4.200.jpg	518	26.3	63.2	6.5	48.6	0.15	0	United Kingdom
7622210645284	Twix	Mars	en:chocolates,en:chocolate-bars	Chocolates,Chocolate bars	Milk chocolate (sugar, cocoa butter, chocolate, skim milk, lactose, milkfat, soy lecithin, salt, artificial flavors), sugar, corn syrup, palm oil, skim milk, dextrose, salt, egg whites, artificial flavor	D	https://images.openfoodfacts.org/images/products/762/221/064/5284/front_en.4.400.jpg	https://images.openfoodfacts.org/images/products/762/221/064/5284/front_en.4.200.jpg	502	24	64	4.3	48	0.4	0.5	United States
